鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁B棟10樓,10.97,住,,,1091217,土地1建物1車位1,十層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.11,2,2,1,有,無,8280000,81956,坡道平面,47.82,1290000,,RPWPMLLKOHGGFAO09CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁B棟11樓,10.97,住,,,1091217,土地1建物1車位1,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.11,2,2,1,有,無,8330000,82542,坡道平面,47.82,1290000,,RPXPMLLKOHGGFAO56CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁B棟12樓,10.97,住,,,1091024,土地1建物1車位1,十二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.29,2,2,1,有,無,8228000,81580,坡道平面,44.0,1270000,,RPQQMLLKOHGGFAO58CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁B棟13樓,10.97,住,,,1091024,土地1建物1車位1,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.29,2,2,1,有,無,8277000,82155,坡道平面,44.0,1270000,,RPSQMLLKOHGGFAO78CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁B棟14樓,10.97,住,,,1091218,土地1建物1車位1,十四層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.11,2,2,1,有,無,8450000,84418,坡道平面,47.82,1250000,,RPUQMLLKOHGGFAO98CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁B棟15樓,10.97,住,,,1091216,土地1建物1車位1,十五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.11,2,2,1,有,無,8500000,85004,坡道平面,47.82,1250000,,RPVQMLLKOHGGFAO09CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁B棟16樓,10.97,住,,,1091016,土地1建物1車位1,十六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.11,2,2,1,有,無,8590000,85590,坡道平面,47.82,1290000,,RPWQMLLKOHGGFAO56CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁C棟2樓,19.07,住,,,1091220,土地1建物1車位1,二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,195.52,4,2,2,有,無,14300000,87881,坡道平面,47.82,1320000,,RPPRMLLKOHGGFAO58CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁C棟4樓,19.07,住,,,1091202,土地1建物1車位2,四層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,243.34,4,2,2,有,無,14960000,81787,坡道平面,95.64,2880000,,RPQRMLLKOHGGFAO68CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁C棟3樓,19.07,住,,,1091023,土地1建物1車位1,三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,195.52,4,2,2,有,無,12910000,78808,坡道平面,47.82,1270000,,RPSRMLLKOHGGFAO88CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁C棟5樓,19.07,住,,,1091219,土地1建物1車位1,五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,220.65,4,2,2,有,無,13320000,78944,坡道平面,72.95,1660000,,RPQRMLPKOHGGFAO09CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁C棟6樓,19.07,住,,,1091021,土地1建物1車位1,六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,195.52,4,2,2,有,無,13240000,79418,坡道平面,47.82,1510000,,RPURMLPKOHGGFAO86CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁C棟7樓,19.07,住,,,1091022,土地1建物1車位1,七層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,195.52,4,2,2,有,無,13090000,80027,坡道平面,47.82,1270000,,RPQSMLPKOHGGFAO56CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁C棟8樓,19.07,住,,,1091102,土地1建物1車位1,八層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,191.7,4,2,2,有,無,14000000,85173,坡道平面,44.0,1420000,,RPRSMLPKOHGGFAO66CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁C棟9樓,19.07,住,,,1091022,土地1建物1車位1,九層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,195.52,4,2,2,有,無,13510000,81246,坡道平面,47.82,1510000,,RPSSMLPKOHGGFAO76CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁C棟11樓,19.07,住,,,1091126,土地1建物1車位1,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,195.52,4,2,2,有,無,13400000,81923,坡道平面,47.82,1300000,,RPQTMLPKOHGGFAO66CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁C棟13樓,19.07,住,,,1091114,土地1建物1車位1,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,195.52,4,2,2,有,無,14500000,88219,坡道平面,47.82,1470000,,RPRTMLPKOHGGFAO76CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁C棟16樓,19.07,住,,,1091114,土地1建物1車位1,十六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,195.52,4,2,2,有,無,13800000,84631,坡道平面,47.82,1300000,,RPSTMLPKOHGGFAO86CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁A棟2樓,24.14,住,,,1100225,土地1建物1車位1,二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,187.77,3,2,2,有,無,13260000,91445,坡道平面,52.17,860000,,RPXPMLQKOHGGFAO07CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁B棟2樓,16.88,住,,,1100224,土地1建物1車位1,二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.29,2,2,1,有,無,8500000,88756,坡道平面,44.0,930000,,RPRQMLQKOHGGFAO56CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁C棟12樓,19.07,住,,,1091114,土地1建物1車位2,十二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,239.52,4,2,2,有,無,14800000,82600,坡道平面,91.82,2600000,,RPURMLQKOHGGFAO96CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁C棟15樓,19.07,住,,,1091018,土地1建物1車位2,十五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,243.34,4,2,2,有,無,15380000,84834,坡道平面,95.64,2850000,,RPWRMLQKOHGGFAO17CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁C棟10樓,19.07,住,,,1091114,土地1建物1車位2,十層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,243.34,4,2,2,有,無,15700000,86798,坡道平面,95.64,2880000,,RPOSMLQKOHGGFAO09CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁D棟2樓,23.13,住,,,1100221,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.85,3,2,2,有,無,13290000,92403,坡道平面,47.82,1090000,,RPQSMLQKOHGGFAO66CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁D棟3樓,22.96,住,,,1100203,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,176.03,3,2,2,有,無,11900000,83390,坡道平面,44.0,890000,,RPSSMLQKOHGGFAO86CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁D棟4樓,17.05,住,,,1091226,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.85,3,2,2,有,無,12010000,79906,坡道平面,47.82,1460000,,RPTSMLQKOHGGFAO96CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁D棟5樓,17.05,住,,,1091214,土地1建物1車位2,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,227.67,3,2,2,有,無,13320000,80285,坡道平面,95.64,2720000,,RPUSMLQKOHGGFAO07CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁D棟6樓,17.05,住,,,1091224,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.85,3,2,2,有,無,11670000,78770,坡道平面,47.82,1270000,,RPVSMLQKOHGGFAO17CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁D棟7樓,17.05,住,,,1091217,土地1建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.85,3,2,2,有,無,12750000,84299,坡道平面,47.82,1620000,,RPWSMLQKOHGGFAO27CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁D棟8樓,17.05,住,,,1091019,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.85,3,2,2,有,無,12290000,82936,坡道平面,47.82,1340000,,RPXSMLQKOHGGFAO37CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁D棟9樓,17.05,住,,,1091112,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.85,3,2,2,有,無,12820000,85965,坡道平面,47.82,1470000,,RPOTMLQKOHGGFAO56CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁D棟10樓,17.05,住,,,1091108,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.2,3,2,2,有,無,12750000,85890,坡道平面,52.17,1410000,,RPPTMLQKOHGGFAO66CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁D棟11樓,17.05,住,,,1091121,土地1建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.2,3,2,2,有,無,12820000,86344,坡道平面,52.17,1420000,,RPQTMLQKOHGGFAO76CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁D棟12樓,17.05,住,,,1091219,土地1建物1車位2,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,223.85,3,2,2,有,無,14080000,85208,坡道平面,91.82,2830000,,RPRTMLQKOHGGFAO86CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁D棟13樓,17.05,住,,,1091226,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,176.03,3,2,2,有,無,12700000,86193,坡道平面,44.0,1320000,,RPSTMLQKOHGGFAO96CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁E棟2樓,16.71,住,,,1100226,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.22,2,2,1,有,無,8080000,85015,坡道平面,44.0,920000,,RPTTMLQKOHGGFAO07CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁E棟3樓,16.71,住,,,1100206,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.22,2,2,1,有,無,8130000,85134,坡道平面,44.0,960000,,RPUTMLQKOHGGFAO17CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁E棟4樓,10.8,住,,,1091204,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.39,2,2,1,有,無,8100000,80503,坡道平面,52.17,1320000,,RPVTMLQKOHGGFAO27CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁E棟5樓,10.8,住,,,1091022,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.04,2,2,1,有,無,8000000,78247,坡道平面,47.82,1410000,,RPWTMLQKOHGGFAO37CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁E棟6樓,10.8,住,,,1091014,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.04,2,2,1,有,無,8390000,83947,坡道平面,47.82,1320000,,RPPUMLQKOHGGFAO76CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁E棟7樓,10.8,住,,,1091017,土地1建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.04,2,2,1,有,無,8240000,82166,坡道平面,47.82,1320000,,RPQUMLQKOHGGFAO86CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁E棟8樓,10.8,住,,,1091016,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.04,2,2,1,有,無,8130000,80622,坡道平面,47.82,1340000,,RPRUMLQKOHGGFAO96CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁E棟9樓,10.8,住,,,1091016,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.04,2,2,1,有,無,8080000,80622,坡道平面,47.82,1290000,,RPTUMLQKOHGGFAO17CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁E棟10樓,10.8,住,,,1091016,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.04,2,2,1,有,無,8210000,81810,坡道平面,47.82,1320000,,RPUUMLQKOHGGFAO27CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁E棟11樓,10.8,住,,,1091015,土地1建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.23,2,2,1,有,無,8750000,86440,坡道平面,58.01,1470000,,RPVUMLQKOHGGFAO37CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁E棟12樓,10.8,住,,,1091026,土地1建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.04,2,2,1,有,無,8600000,87034,坡道平面,47.82,1270000,,RPWUMLQKOHGGFAO47CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁E棟13樓,10.8,住,,,1091119,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.22,2,2,1,有,無,8680000,87984,坡道平面,44.0,1270000,,RPXUMLQKOHGGFAO57CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁A棟1樓_店1,14.85,住,,,1091023,土地1建物1車位1,一層,17,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,166.13,0,0,0,無,無,14120000,105993,坡道平面,47.82,1580000,,RPSQMLRKOHGGFAO76CB,大疆
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段261巷18弄旁C棟1樓_店3,32.92,住,,,1100318,土地1建物1車位1,一層,17,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,259.62,0,0,0,無,無,26470000,120161,坡道平面,47.82,1020000,,RPVQMLRKOHGGFAO07CB,大疆
新竹市,房地(土地+建物),新竹市新竹市北區金雅西街C1戶,63.65,,鄉村區,乙種建築用地,1081201,土地3建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,236.15,3,3,5,有,無,18000000,76223,,0.0,0,,RPSRMLTLOHGGFAO27DB,邑鑄
新竹市,房地(土地+建物),新竹市新竹市北區金雅西街C2戶,63.09,,鄉村區,乙種建築用地,1090419,土地3建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,235.91,3,3,5,有,無,19000000,80539,,0.0,0,,RPTRMLTLOHGGFAO37DB,邑鑄
新竹市,房地(土地+建物),新竹市新竹市北區金雅西街C3戶,96.18,,鄉村區,乙種建築用地,1091001,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,195.22,4,2,5,有,無,17300000,88618,,0.0,0,,RPURMLTLOHGGFAO47DB,邑鑄
新竹市,房地(土地+建物),新竹市新竹市北區金雅西街C6戶,98.08,,鄉村區,乙種建築用地,1091202,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,214.51,3,3,5,有,無,20880000,97338,,0.0,0,,RPVRMLTLOHGGFAO57DB,邑鑄
新竹市,房地(土地+建物),新竹市新竹市北區金雅西街C5戶,92.37,,鄉村區,乙種建築用地,1080709,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,215.16,3,3,5,有,無,20500000,95278,,0.0,0,,RPOSMLTLOHGGFAO96DB,邑鑄
新竹市,房地(土地+建物)+車位,新竹市新竹市慈祥路,35.85,住,,,1100702,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.01,3,2,2,有,無,24850000,149003,坡道平面,33.0,2200000,,RPQNMLOKPHGGFAO68CB,致家人
新竹市,房地(土地+建物)+車位,新竹市新竹市慈祥路,35.85,住,,,1100701,土地1建物1車位2,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.04,3,2,2,有,無,27400000,157958,坡道平面,55.0,3700000,,RPRNMLOKPHGGFAO78CB,致家人
新竹市,房地(土地+建物),新竹市新竹市西大路72巷,8.38,其他,,,1100708,土地1建物1車位0,十層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,,57.02,1,1,1,有,無,5700000,99965,,0.0,0,,RPPNMLPKPHGGFAO68CB,擎業愛+
新竹市,房地(土地+建物),新竹市新竹市金雅東街,104.48,,鄉村區,乙種建築用地,1100706,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,,294.63,4,2,5,有,無,33000000,112005,,0.0,0,,RPRNMLQKPHGGFAO98CB,竹慶金宴
新竹市,房地(土地+建物)+車位,新竹市新竹市中和路52巷,21.31,住,,,1100717,土地2建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.4,2,2,1,有,無,8050000,82115,其他,12.5,750000,,RPPNMLNLPHGGFAO68DB,理德橙心
新竹市,房地(土地+建物)+車位,新竹市新竹市中和路52巷,28.99,住,,,1100710,土地2建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.44,3,2,2,有,無,9850000,74417,其他,12.5,850000,,RPQNMLNLPHGGFAO78DB,理德橙心
新竹市,房地(土地+建物)+車位,新竹市新竹市中和路52巷,21.41,住,,,1100717,土地2建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.82,2,2,1,有,無,7680000,77586,其他,12.5,750000,,RPRNMLNLPHGGFAO88DB,理德橙心
新竹市,房地(土地+建物)+車位,新竹市新竹市慈祥路,30.04,住,,,1100705,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.46,3,2,2,有,無,20080000,142183,坡道平面,25.3,2000000,,RPSNMLQLPHGGFAO56CB,致家人
新竹市,房地(土地+建物),新竹市新竹市金雅西街,113.72,,鄉村區,乙種建築用地,1080610,土地3建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,,316.53,4,3,6,有,無,27870000,88049,,0.0,0,,RPPNMLRLPHGGFAO98CB,邑鑄
新竹市,房地(土地+建物),新竹市新竹市金雅西街,83.14,,鄉村區,乙種建築用地,1081220,土地3建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,,294.55,4,3,6,有,無,25000000,84875,,0.0,0,,RPQNMLRLPHGGFAO09CB,邑鑄
新竹市,房地(土地+建物),新竹市新竹市金雅西街,83.14,,鄉村區,乙種建築用地,1080709,土地3建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,,294.55,4,3,6,有,無,24000000,81480,,0.0,0,,RPRNMLRLPHGGFAO56CB,邑鑄
新竹市,房地(土地+建物),新竹市新竹市金雅西街,87.54,,鄉村區,乙種建築用地,1090225,土地3建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,,300.93,4,3,6,有,無,25800000,85734,,0.0,0,,RPSNMLRLPHGGFAO66CB,邑鑄
新竹市,房地(土地+建物),新竹市新竹市金雅西街,85.91,,鄉村區,乙種建築用地,1081107,土地3建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,,294.55,4,3,6,有,無,25180000,85486,,0.0,0,,RPTNMLRLPHGGFAO76CB,邑鑄
新竹市,房地(土地+建物),新竹市新竹市金雅西街,83.14,,鄉村區,乙種建築用地,1090425,土地3建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,,294.55,4,3,6,有,無,23600000,80122,,0.0,0,,RPUNMLRLPHGGFAO86CB,邑鑄
新竹市,房地(土地+建物),新竹市新竹市金雅西街,87.74,,鄉村區,乙種建築用地,1090517,土地3建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,,294.74,4,3,6,有,無,25000000,84821,,0.0,0,,RPVNMLRLPHGGFAO96CB,邑鑄
新竹市,房地(土地+建物),新竹市新竹市金雅三街,73.25,,鄉村區,乙種建築用地,1090114,土地3建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,,259.8,3,3,6,有,無,21600000,83141,,0.0,0,,RPWNMLRLPHGGFAO07CB,邑鑄
新竹市,房地(土地+建物),新竹市新竹市金雅三街,64.63,,鄉村區,乙種建築用地,1080907,土地3建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,,229.67,3,3,5,有,無,19420000,84556,,0.0,0,,RPXNMLRLPHGGFAO17CB,邑鑄
新竹市,房地(土地+建物),新竹市新竹市金雅三街,74.48,,鄉村區,乙種建築用地,1080618,土地3建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,,245.4,3,3,6,有,無,21500000,87612,,0.0,0,,RPOOMLRLPHGGFAO98CB,邑鑄
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,32.21,住,,,1100530,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.39,3,2,2,有,無,8600000,63861,坡道平面,31.2,1180000,,RPPNMLSLPHGGFAO09CB,海街日記
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,31.31,住,,,1100524,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.17,3,2,2,有,無,7770000,59042,坡道平面,31.2,1100000,,RPQNMLSLPHGGFAO56CB,海街日記
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,32.34,住,,,1100522,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.88,3,2,2,有,無,7980000,58279,坡道平面,31.2,1180000,,RPRNMLSLPHGGFAO66CB,海街日記
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,32.34,住,,,1100522,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.88,3,2,2,有,無,7900000,57593,坡道平面,31.2,1180000,,RPTNMLSLPHGGFAO86CB,海街日記
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,31.61,住,,,1100605,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.72,3,2,2,有,無,7700000,58045,坡道平面,28.67,1080000,,RPVNMLSLPHGGFAO07CB,海街日記
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,31.31,住,,,1100612,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.64,3,2,2,有,無,7630000,57980,坡道平面,28.67,1080000,,RPWNMLSLPHGGFAO17CB,海街日記
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,31.24,住,,,1100618,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.91,3,2,2,有,無,7960000,60154,坡道平面,31.2,1180000,,RPXNMLSLPHGGFAO27CB,海街日記
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,32.21,住,,,1100620,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.39,3,2,2,有,無,8390000,62054,坡道平面,31.2,1180000,,RPOOMLSLPHGGFAO09CB,海街日記
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,31.61,住,,,1100712,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.25,3,2,2,有,無,7760000,57694,坡道平面,31.2,1180000,,RPPOMLSLPHGGFAO56CB,海街日記
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,32.21,住,,,1100703,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.86,3,2,2,有,無,8100000,60418,坡道平面,28.67,1080000,,RPQOMLSLPHGGFAO66CB,海街日記
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,38.47,住,,,1100703,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.98,4,2,2,有,無,9600000,60672,坡道平面,31.2,1180000,,RPROMLSLPHGGFAO76CB,海街日記
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,31.31,住,,,1100710,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.57,3,2,2,有,無,7080000,56918,坡道機械,15.6,650000,,RPSOMLSLPHGGFAO86CB,海街日記
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,32.21,住,,,1100706,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.86,3,2,2,有,無,8080000,59385,坡道平面,28.67,1180000,,RPTOMLSLPHGGFAO96CB,海街日記
