編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVQMLPJPHGGFAH78DA,坡道平面,1850000,27.35,地下一樓
RPWQMLPJPHGGFAH88DA,坡道平面,1500000,27.35,地下三樓
RPRPMLQJPHGGFAH38DA,坡道平面,1500000,27.35,地下三樓
RPXSMLQJPHGGFAH66DA,坡道平面,1700000,27.35,地下二樓
RPQRMLQJPHGGFAH48DA,坡道平面,0,27.35,地下三樓
RPQRMLQJPHGGFAH48DA,坡道平面,0,27.35,地下三樓
RPSRMLRJPHGGFAH78DA,坡道平面,0,27.35,地下二樓
RPSRMLRJPHGGFAH78DA,坡道平面,0,27.35,地下二樓
RPWRMLQJPHGGFAH09DA,坡道平面,1380000,27.35,地下一樓
RPWRMLPJPHGGFAH98DA,坡道平面,1700000,27.35,地下二樓
RPSSMLQJPHGGFAH78DA,坡道平面,1750000,27.35,地下二樓
RPVWMLTJQHGGFAH27DA,坡道平面,0,,地下二樓
RPRRMLQLQHGGFAH88DA,坡道平面,0,15.40,地下一樓
RPOSMLLMQHGGFAH28DA,坡道平面,0,,地下一樓
RPUOMLQLPHGGFAH78DA,坡道平面,0,,地下一樓
RPUPMLLMQHGGFAH58DA,坡道平面,1750000,33.52,地下一樓
RPUPMLQJRHGGFAH88DA,坡道平面,1400000,27.25,地下一樓
RPUQMLRJRHGGFAH09DA,坡道平面,1750000,27.35,地下二樓
RPQOMLLJRHGGFAH87DA,坡道平面,1900000,27.20,地下四樓
RPWRMLRJRHGGFAH76DA,坡道平面,0,,地下一樓
RPQSMLRJRHGGFAH88DA,坡道平面,0,,地下二樓
RPWRMLSJRHGGFAH86DA,坡道平面,0,,地下一樓
RPSNMLSJRHGGFAH68DA,坡道平面,0,,地下二樓
RPTSMLSJRHGGFAH66DA,坡道平面,2150000,40.20,地下二樓
RPTSMLSJRHGGFAH66DA,坡道平面,2150000,40.20,地下二樓
RPUSMLSJRHGGFAH76DA,坡道平面,1950000,40.20,地下四樓
RPVSMLSJRHGGFAH86DA,坡道平面,1950000,40.20,地下四樓
RPTPMLQJQHGGFBH78DA,坡道平面,0,,地下二樓
RPPSMLLKQHGGFBH28DA,坡道平面,0,,地下四樓
RPXWMLNLQHGGFBH17DA,坡道平面,0,,地下一樓
RPPNMLRJRHGGFBH38DA,坡道平面,1600000,30.80,地下二樓
RPTTMLRJRHGGFBH76DA,坡道平面,0,,地下二樓
RPTNMLSJRHGGFBH88DA,坡道平面,0,33.32,地下一樓
RPTNMLSJRHGGFBH88DA,坡道平面,0,33.32,地下一樓
RPSOMLTJRHGGFBH98DA,坡道平面,0,,地下一樓
RPPOMLTJRHGGFBH68DA,坡道平面,0,,地下一樓
RPPOMLTJRHGGFBH68DA,坡道平面,0,,地下一樓
RPRQMLTJRHGGFBH09DA,坡道機械,0,13.33,地下三樓
RPXOMLQLQHGGFBH66DA,坡道平面,0,,地下一樓
RPWNMLOJQHGGFCH78DA,坡道平面,0,,地下一樓
RPVOMLSKQHGGFCH66DA,坡道平面,1400000,29.77,地下一樓
RPXPMLKLQHGGFCH88DA,坡道平面,900000,29.06,地下二樓
RPSOMLTJQHGGFDH09DA,坡道平面,1600000,30.51,地下二樓
RPXNMLMKQHGGFDH88DA,坡道平面,0,,地下一樓
RPSOMLKLQHGGFDH38DA,坡道平面,1600000,30.51,地下二樓
RPSRMLKMQHGGFDH78DA,坡道平面,1300000,36.87,地下一樓
RPOQMLLJRHGGFDH18DA,坡道平面,1200000,36.87,地下三樓
RPOPMLQJRHGGFDH58DA,坡道平面,1550000,31.35,地下三樓
RPUTMLQJPHGGFAH09DA,坡道平面,1500000,27.35,地下三樓
RPQOMLTJRHGGFDH98DA,坡道平面,0,30.19,地下一樓
RPVOMLSKQHGGFEH86DA,坡道平面,1300000,39.73,地下二樓
RPPPMLRJRHGGFEH88DA,坡道平面,0,,地下二樓
RPUOMLRJRHGGFFH76DA,坡道平面,1100000,30.73,地下三樓
RPUOMLRJRHGGFFH76DA,坡道平面,1100000,30.73,地下三樓
RPTOMLRJRHGGFFH66DA,坡道平面,1100000,30.73,地下三樓
RPVOMLRJRHGGFFH86DA,坡道平面,1500000,25.15,地下一樓
RPXOMLRJRHGGFFH07DA,坡道平面,1100000,30.73,地下三樓
RPWOMLRJRHGGFFH96DA,坡道平面,1400000,30.73,地下一樓
RPPPMLRJRHGGFFH98DA,坡道平面,1100000,30.73,地下三樓
RPQPMLRJRHGGFFH09DA,坡道平面,1200000,30.73,地下二樓
RPRPMLRJRHGGFFH56DA,坡道平面,1400000,30.73,地下一樓
RPVPMLRJRHGGFFH96DA,坡道平面,1100000,30.73,地下三樓
RPWPMLRJRHGGFFH07DA,坡道平面,1100000,25.15,地下二樓
RPXPMLRJRHGGFFH17DA,坡道平面,1000000,30.73,地下三樓
RPOQMLRJRHGGFFH98DA,坡道平面,1100000,30.73,地下二樓
RPPQMLRJRHGGFFH09DA,坡道平面,1100000,25.15,地下二樓
RPQQMLRJRHGGFFH56DA,坡道平面,1200000,30.73,地下二樓
RPRQMLRJRHGGFFH66DA,坡道平面,1200000,30.73,地下二樓
RPSQMLRJRHGGFFH76DA,坡道平面,1200000,30.73,地下二樓
RPTQMLRJRHGGFFH86DA,坡道平面,1400000,30.73,地下一樓
RPUQMLRJRHGGFFH96DA,坡道平面,1100000,30.73,地下三樓
RPWQMLRJRHGGFFH17DA,坡道平面,1100000,25.15,地下二樓
RPVQMLRJRHGGFFH07DA,坡道平面,1400000,30.73,地下一樓
RPXQMLRJRHGGFFH27DA,坡道平面,1200000,30.73,地下二樓
RPPNMLPJRHGGFEH48DA,坡道平面,1000000,39.90,地下二樓
RPPRMLRJRHGGFFH56DA,坡道平面,1100000,30.73,地下三樓
RPPRMLTJRHGGFFH76DA,坡道平面,0,32.24,地下一樓
