鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
北斗鎮,房地(土地+建物)+車位,彰化縣北斗鎮宮後街,31.84,住,,,1100726,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.69,3,2,2,有,無,5570000,58824,一樓平面,0.0,800000,,RPPNMLQKRHGGFFN76CB,全家福6期,Y棟E號
北斗鎮,房地(土地+建物)+車位,彰化縣北斗鎮宮後街,39.98,住,,,1100807,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.43,3,2,2,有,無,6820000,61204,一樓平面,0.0,800000,,RPQNMLQKRHGGFFN86CB,全家福6期,B號
北斗鎮,房地(土地+建物)+車位,彰化縣北斗鎮宮後街,39.98,住,,,1100807,土地1建物1車位2,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,126.29,3,2,2,有,無,7620000,60337,一樓平面,0.0,1600000,,RPRNMLQKRHGGFFN96CB,全家福6期,E號
北斗鎮,房地(土地+建物)+車位,彰化縣北斗鎮宮後街,31.84,住,,,1100807,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.69,2,2,2,有,無,5600000,59140,一樓平面,0.0,800000,,RPSNMLQKRHGGFFN07CB,全家福6期,2棟J號
北斗鎮,房地(土地+建物)+車位,彰化縣北斗鎮宮後街,40.33,住,,,1100807,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.28,3,2,2,有,無,6820000,60741,一樓平面,0.0,800000,,RPTNMLQKRHGGFFN17CB,全家福6期,A號
北斗鎮,房地(土地+建物)+車位,彰化縣北斗鎮宮後街,39.93,住,,,1100807,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.82,3,2,2,有,無,6720000,59564,一樓平面,0.0,800000,,RPUNMLQKRHGGFFN27CB,全家福6期,
北斗鎮,房地(土地+建物)+車位,彰化縣北斗鎮宮後街,31.84,住,,,1100807,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.69,3,2,2,有,無,5580000,58929,一樓平面,0.0,800000,,RPVNMLQKRHGGFFN37CB,全家福6期,Y棟B號
北斗鎮,房地(土地+建物)+車位,彰化縣北斗鎮宮後街,39.51,住,,,1100810,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.33,3,2,2,有,無,6750000,59561,一樓平面,0.0,800000,,RPWNMLQKRHGGFFN47CB,全家福6期,Y棟D號
北斗鎮,房地(土地+建物)+車位,彰化縣北斗鎮宮後街,39.93,住,,,1100814,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.82,3,2,2,有,無,6750000,59830,一樓平面,0.0,800000,,RPXNMLQKRHGGFFN57CB,全家福6期,H號
北斗鎮,房地(土地+建物)+車位,彰化縣北斗鎮宮後街,31.84,住,,,1100814,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.69,2,2,2,有,無,5470000,57767,一樓平面,0.0,800000,,RPOOMLQKRHGGFFN76CB,全家福6期,2棟
