編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLLKRHGGFJB48CB,育賢段,18.65,都市：住,100000,217,持分移轉,02010007
RPVNMLLKRHGGFJB68CB,育賢段,17.70,都市：住,100000,206,持分移轉,02010007
RPSNMLLKRHGGFJB38CB,育賢段,17.70,都市：住,100000,206,持分移轉,02010007
RPUNMLLKRHGGFJB58CB,育賢段,17.70,都市：住,100000,206,持分移轉,02010007
RPWNMLLKRHGGFJB78CB,育賢段,17.10,都市：住,100000,199,持分移轉,02010007
RPOOMLLKRHGGFJB08CB,育賢段,25.26,都市：住,100000,294,持分移轉,02010007
RPQNMLLKRHGGFKB28CB,新東段,6.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04230000
RPQNMLLKRHGGFKB28CB,新東段,1.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04240000
RPTNMLLKRHGGFKB58CB,新東段,6.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04230000
RPTNMLLKRHGGFKB58CB,新東段,1.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04240000
RPVNMLLKRHGGFKB78CB,新東段,6.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04230000
RPVNMLLKRHGGFKB78CB,新東段,1.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04240000
RPXNMLLKRHGGFKB98CB,新東段,6.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04230000
RPXNMLLKRHGGFKB98CB,新東段,1.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04240000
RPOOMLLKRHGGFKB18CB,新東段,6.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04230000
RPOOMLLKRHGGFKB18CB,新東段,1.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04240000
RPQOMLLKRHGGFKB38CB,新東段,6.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04230000
RPQOMLLKRHGGFKB38CB,新東段,1.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04240000
RPVOMLLKRHGGFKB88CB,新東段,6.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04230000
RPVOMLLKRHGGFKB88CB,新東段,1.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04240000
RPWOMLLKRHGGFKB98CB,新東段,6.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04230000
RPWOMLLKRHGGFKB98CB,新東段,1.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04240000
RPROMLLKRHGGFKB48CB,新東段,6.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04230000
RPROMLLKRHGGFKB48CB,新東段,1.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04240000
RPXNMLLKRHGGFJB88CB,育賢段,17.70,都市：住,100000,206,持分移轉,02010007
RPPOMLLKRHGGFJB18CB,育賢段,17.01,都市：住,100000,198,持分移轉,02010007
RPSNMLLKRHGGFBB67DB,碧柳段,18.63,都市：住,10000,54,持分移轉,02060000
RPUOMLLKRHGGFKB78CB,新東段,6.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04230000
RPUOMLLKRHGGFKB78CB,新東段,1.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,12,持分移轉,04240000
RPQNMLLKRHGGFAB37DB,泉源段,6.94,都市：商,100000,59,持分移轉,00150000
RPRNMLLKRHGGFHB08CB,四德段,34.24,都市：住,10000,112,持分移轉,01830000
RPPNMLLKRHGGFAB17CB,下橋子頭段,6.29,都市：住,100000,376,持分移轉,02030000
RPPNMLLKRHGGFAB17CB,下橋子頭段,6.17,都市：商,100000,376,持分移轉,01240053
RPQNMLLKRHGGFAB27CB,下橋子頭段,6.17,都市：住,100000,369,持分移轉,02030000
RPQNMLLKRHGGFAB27CB,下橋子頭段,6.05,都市：商,100000,369,持分移轉,01240053
RPRNMLLKRHGGFAB37CB,下橋子頭段,6.17,都市：住,100000,369,持分移轉,02030000
RPRNMLLKRHGGFAB37CB,下橋子頭段,6.05,都市：商,100000,369,持分移轉,01240053
RPSNMLLKRHGGFAB47CB,下橋子頭段,6.86,都市：住,100000,410,持分移轉,02030000
RPSNMLLKRHGGFAB47CB,下橋子頭段,6.72,都市：商,100000,410,持分移轉,01240053
RPTNMLLKRHGGFAB57CB,下橋子頭段,6.29,都市：住,100000,376,持分移轉,02030000
RPTNMLLKRHGGFAB57CB,下橋子頭段,6.17,都市：商,100000,376,持分移轉,01240053
RPQNMLLKRHGGFHB97CB,四德段,34.24,都市：住,10000,112,持分移轉,01830000
RPUNMLLKRHGGFAB67CB,下橋子頭段,6.86,都市：住,100000,410,持分移轉,02030000
RPUNMLLKRHGGFAB67CB,下橋子頭段,6.72,都市：商,100000,410,持分移轉,01240053
RPVNMLLKRHGGFAB77CB,下橋子頭段,9.17,都市：住,100000,548,持分移轉,02030000
RPVNMLLKRHGGFAB77CB,下橋子頭段,8.99,都市：商,100000,548,持分移轉,01240053
RPWNMLLKRHGGFAB87CB,下橋子頭段,6.86,都市：住,100000,410,持分移轉,02030000
RPWNMLLKRHGGFAB87CB,下橋子頭段,6.72,都市：商,100000,410,持分移轉,01240053
RPXNMLLKRHGGFAB97CB,下橋子頭段,9.17,都市：住,100000,548,持分移轉,02030000
RPXNMLLKRHGGFAB97CB,下橋子頭段,8.99,都市：商,100000,548,持分移轉,01240053
RPOOMLLKRHGGFAB17CB,下橋子頭段,6.17,都市：住,100000,369,持分移轉,02030000
RPOOMLLKRHGGFAB17CB,下橋子頭段,6.05,都市：商,100000,369,持分移轉,01240053
RPPOMLLKRHGGFAB27CB,下橋子頭段,9.17,都市：住,100000,548,持分移轉,02030000
RPPOMLLKRHGGFAB27CB,下橋子頭段,8.99,都市：商,100000,548,持分移轉,01240053
RPPNMLLKRHGGFIB97CB,新高鐵段,18.74,都市：商,100000,618,持分移轉,00980000
RPPNMLLKRHGGFIB97CB,新高鐵段,13.92,都市：商,100000,618,持分移轉,00990000
RPQOMLLKRHGGFAB37CB,下橋子頭段,9.17,都市：住,100000,548,持分移轉,02030000
RPQOMLLKRHGGFAB37CB,下橋子頭段,8.99,都市：商,100000,548,持分移轉,01240053
RPROMLLKRHGGFAB47CB,下橋子頭段,6.86,都市：住,100000,410,持分移轉,02030000
RPROMLLKRHGGFAB47CB,下橋子頭段,6.72,都市：商,100000,410,持分移轉,01240053
RPSOMLLKRHGGFAB57CB,下橋子頭段,6.17,都市：住,100000,369,持分移轉,02030000
RPSOMLLKRHGGFAB57CB,下橋子頭段,6.05,都市：商,100000,369,持分移轉,01240053
RPTOMLLKRHGGFAB67CB,下橋子頭段,9.17,都市：住,100000,548,持分移轉,02030000
RPTOMLLKRHGGFAB67CB,下橋子頭段,8.99,都市：商,100000,548,持分移轉,01240053
RPWOMLLKRHGGFAB97CB,下橋子頭段,6.86,都市：住,100000,410,持分移轉,02030000
RPWOMLLKRHGGFAB97CB,下橋子頭段,6.72,都市：商,100000,410,持分移轉,01240053
RPUOMLLKRHGGFAB77CB,下橋子頭段,6.86,都市：住,100000,410,持分移轉,02030000
RPUOMLLKRHGGFAB77CB,下橋子頭段,6.72,都市：商,100000,410,持分移轉,01240053
RPVOMLLKRHGGFAB87CB,下橋子頭段,6.86,都市：住,100000,410,持分移轉,02030000
RPVOMLLKRHGGFAB87CB,下橋子頭段,6.72,都市：商,100000,410,持分移轉,01240053
RPXOMLLKRHGGFAB08CB,下橋子頭段,6.86,都市：住,100000,410,持分移轉,02030000
RPXOMLLKRHGGFAB08CB,下橋子頭段,6.72,都市：商,100000,410,持分移轉,01240053
RPOPMLLKRHGGFAB27CB,下橋子頭段,6.86,都市：住,100000,410,持分移轉,02030000
RPOPMLLKRHGGFAB27CB,下橋子頭段,6.72,都市：商,100000,410,持分移轉,01240053
RPPPMLLKRHGGFAB37CB,下橋子頭段,9.20,都市：住,100000,550,持分移轉,02030000
RPPPMLLKRHGGFAB37CB,下橋子頭段,9.02,都市：商,100000,550,持分移轉,01240053
RPQPMLLKRHGGFAB47CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPQPMLLKRHGGFAB47CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPRPMLLKRHGGFAB57CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPRPMLLKRHGGFAB57CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPSPMLLKRHGGFAB67CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPSPMLLKRHGGFAB67CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPUPMLLKRHGGFAB87CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPUPMLLKRHGGFAB87CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPTPMLLKRHGGFAB77CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPTPMLLKRHGGFAB77CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPWPMLLKRHGGFAB08CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPWPMLLKRHGGFAB08CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPVPMLLKRHGGFAB97CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPVPMLLKRHGGFAB97CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPXPMLLKRHGGFAB18CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPXPMLLKRHGGFAB18CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPRQMLLKRHGGFAB67CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPRQMLLKRHGGFAB67CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPOQMLLKRHGGFAB37CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPOQMLLKRHGGFAB37CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPUQMLLKRHGGFAB97CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPUQMLLKRHGGFAB97CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPPQMLLKRHGGFAB47CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPPQMLLKRHGGFAB47CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPQQMLLKRHGGFAB57CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPQQMLLKRHGGFAB57CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPSQMLLKRHGGFAB77CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPSQMLLKRHGGFAB77CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPTQMLLKRHGGFAB87CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPTQMLLKRHGGFAB87CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPVQMLLKRHGGFAB08CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPVQMLLKRHGGFAB08CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPWQMLLKRHGGFAB18CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPWQMLLKRHGGFAB18CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPXQMLLKRHGGFAB28CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPXQMLLKRHGGFAB28CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPPRMLLKRHGGFAB57CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPPRMLLKRHGGFAB57CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPORMLLKRHGGFAB47CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPORMLLKRHGGFAB47CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPQRMLLKRHGGFAB67CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPQRMLLKRHGGFAB67CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPRNMLLKRHGGFAB47DB,泉源段,9.53,都市：商,100000,81,持分移轉,00150000
RPQNMLLKRHGGFIB08CB,新高鐵段,14.61,都市：商,100000,482,持分移轉,00980000
RPQNMLLKRHGGFIB08CB,新高鐵段,10.86,都市：商,100000,482,持分移轉,00990000
RPRRMLLKRHGGFAB77CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPRRMLLKRHGGFAB77CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPTRMLLKRHGGFAB97CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPTRMLLKRHGGFAB97CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPURMLLKRHGGFAB08CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPURMLLKRHGGFAB08CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPVRMLLKRHGGFAB18CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPVRMLLKRHGGFAB18CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPWRMLLKRHGGFAB28CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPWRMLLKRHGGFAB28CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPXRMLLKRHGGFAB38CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPXRMLLKRHGGFAB38CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPRSMLLKRHGGFAB87CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPRSMLLKRHGGFAB87CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPOSMLLKRHGGFAB57CB,下橋子頭段,6.86,都市：住,100000,410,持分移轉,02030000
RPOSMLLKRHGGFAB57CB,下橋子頭段,6.72,都市：商,100000,410,持分移轉,01240053
RPPSMLLKRHGGFAB67CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPPSMLLKRHGGFAB67CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPQSMLLKRHGGFAB77CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPQSMLLKRHGGFAB77CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPSSMLLKRHGGFAB97CB,下橋子頭段,6.86,都市：住,100000,410,持分移轉,02030000
RPSSMLLKRHGGFAB97CB,下橋子頭段,6.72,都市：商,100000,410,持分移轉,01240053
RPXSMLLKRHGGFAB48CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPXSMLLKRHGGFAB48CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPUSMLLKRHGGFAB18CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPUSMLLKRHGGFAB18CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPSRMLLKRHGGFAB87CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPSRMLLKRHGGFAB87CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPVSMLLKRHGGFAB28CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPVSMLLKRHGGFAB28CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPOTMLLKRHGGFAB67CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPOTMLLKRHGGFAB67CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPPTMLLKRHGGFAB77CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPPTMLLKRHGGFAB77CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPQTMLLKRHGGFAB87CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPQTMLLKRHGGFAB87CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPRTMLLKRHGGFAB97CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPRTMLLKRHGGFAB97CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPUTMLLKRHGGFAB28CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPUTMLLKRHGGFAB28CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPVTMLLKRHGGFAB38CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPVTMLLKRHGGFAB38CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPXTMLLKRHGGFAB58CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPXTMLLKRHGGFAB58CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPOUMLLKRHGGFAB77CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPOUMLLKRHGGFAB77CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPPUMLLKRHGGFAB87CB,下橋子頭段,6.86,都市：住,100000,410,持分移轉,02030000
RPPUMLLKRHGGFAB87CB,下橋子頭段,6.72,都市：商,100000,410,持分移轉,01240053
RPQUMLLKRHGGFAB97CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPQUMLLKRHGGFAB97CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPRUMLLKRHGGFAB08CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPRUMLLKRHGGFAB08CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPSUMLLKRHGGFAB18CB,下橋子頭段,9.20,都市：住,100000,550,持分移轉,02030000
RPSUMLLKRHGGFAB18CB,下橋子頭段,9.02,都市：商,100000,550,持分移轉,01240053
RPTUMLLKRHGGFAB28CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPTUMLLKRHGGFAB28CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPUUMLLKRHGGFAB38CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPUUMLLKRHGGFAB38CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPVUMLLKRHGGFAB48CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPVUMLLKRHGGFAB48CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPXUMLLKRHGGFAB68CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPXUMLLKRHGGFAB68CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPOVMLLKRHGGFAB87CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPOVMLLKRHGGFAB87CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPPVMLLKRHGGFAB97CB,下橋子頭段,6.86,都市：住,100000,410,持分移轉,02030000
RPPVMLLKRHGGFAB97CB,下橋子頭段,6.72,都市：商,100000,410,持分移轉,01240053
RPQVMLLKRHGGFAB08CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPQVMLLKRHGGFAB08CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPRVMLLKRHGGFAB18CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPRVMLLKRHGGFAB18CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPVVMLLKRHGGFAB58CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPVVMLLKRHGGFAB58CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPSVMLLKRHGGFAB28CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPSVMLLKRHGGFAB28CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPUVMLLKRHGGFAB48CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPUVMLLKRHGGFAB48CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPTVMLLKRHGGFAB38CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPTVMLLKRHGGFAB38CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPXVMLLKRHGGFAB78CB,下橋子頭段,6.86,都市：住,100000,410,持分移轉,02030000
RPXVMLLKRHGGFAB78CB,下橋子頭段,6.72,都市：商,100000,410,持分移轉,01240053
RPWVMLLKRHGGFAB68CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPWVMLLKRHGGFAB68CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPOWMLLKRHGGFAB97CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPOWMLLKRHGGFAB97CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPRWMLLKRHGGFAB28CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPRWMLLKRHGGFAB28CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPPWMLLKRHGGFAB08CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPPWMLLKRHGGFAB08CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPSWMLLKRHGGFAB38CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPSWMLLKRHGGFAB38CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPVWMLLKRHGGFAB68CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPVWMLLKRHGGFAB68CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPUWMLLKRHGGFAB58CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPUWMLLKRHGGFAB58CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPTWMLLKRHGGFAB48CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPTWMLLKRHGGFAB48CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPWWMLLKRHGGFAB78CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPWWMLLKRHGGFAB78CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPONNLLKRHGGFAB17CB,下橋子頭段,6.86,都市：住,100000,410,持分移轉,02030000
RPONNLLKRHGGFAB17CB,下橋子頭段,6.72,都市：商,100000,410,持分移轉,01240053
RPXWMLLKRHGGFAB88CB,下橋子頭段,9.12,都市：住,100000,545,持分移轉,02030000
RPXWMLLKRHGGFAB88CB,下橋子頭段,8.94,都市：商,100000,545,持分移轉,01240053
RPTSMLLKRHGGFAB08CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPTSMLLKRHGGFAB08CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPPNNLLKRHGGFAB27CB,東勢子段,18.77,都市：住,10000,19,持分移轉,00110000
RPQNNLLKRHGGFAB37CB,下橋子頭段,6.29,都市：住,100000,376,持分移轉,02030000
RPQNNLLKRHGGFAB37CB,下橋子頭段,6.17,都市：商,100000,376,持分移轉,01240053
RPWSMLLKRHGGFAB38CB,旱溪段,13.48,都市：住,100000,371,持分移轉,01910000
RPWSMLLKRHGGFAB38CB,旱溪段,7.25,都市：住,100000,371,持分移轉,01850032
RPRNNLLKRHGGFAB47CB,下橋子頭段,6.86,都市：住,100000,410,持分移轉,02030000
RPRNNLLKRHGGFAB47CB,下橋子頭段,6.72,都市：商,100000,410,持分移轉,01240053
RPSNNLLKRHGGFAB57CB,下橋子頭段,6.17,都市：住,100000,369,持分移轉,02030000
RPSNNLLKRHGGFAB57CB,下橋子頭段,6.05,都市：商,100000,369,持分移轉,01240053
RPTNNLLKRHGGFAB67CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPTNNLLKRHGGFAB67CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPUNNLLKRHGGFAB77CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPUNNLLKRHGGFAB77CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPVNNLLKRHGGFAB87CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPVNNLLKRHGGFAB87CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPWNNLLKRHGGFAB97CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPWNNLLKRHGGFAB97CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPXNNLLKRHGGFAB08CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPXNNLLKRHGGFAB08CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPQONLLKRHGGFAB47CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPQONLLKRHGGFAB47CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPPONLLKRHGGFAB37CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPPONLLKRHGGFAB37CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPRONLLKRHGGFAB57CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPRONLLKRHGGFAB57CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPSONLLKRHGGFAB67CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPSONLLKRHGGFAB67CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPVONLLKRHGGFAB97CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPVONLLKRHGGFAB97CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPTONLLKRHGGFAB77CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPTONLLKRHGGFAB77CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPQPNLLKRHGGFAB57CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPQPNLLKRHGGFAB57CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPUONLLKRHGGFAB87CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPUONLLKRHGGFAB87CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPRPNLLKRHGGFAB67CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPRPNLLKRHGGFAB67CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPOPNLLKRHGGFAB37CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPOPNLLKRHGGFAB37CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPWUMLLKRHGGFAB58CB,旱溪段,9.77,都市：住,100000,269,持分移轉,01910000
RPWUMLLKRHGGFAB58CB,旱溪段,5.26,都市：住,100000,269,持分移轉,01850032
RPSPNLLKRHGGFAB77CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPSPNLLKRHGGFAB77CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPTPNLLKRHGGFAB87CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPTPNLLKRHGGFAB87CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPUPNLLKRHGGFAB97CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
RPUPNLLKRHGGFAB97CB,旱溪段,6.73,都市：住,100000,344,持分移轉,01850032
RPVPNLLKRHGGFAB08CB,旱溪段,12.50,都市：住,100000,344,持分移轉,01910000
